Circumference: 2.0399556211108147 
X_i, Y_i, theta_i, l_i
0.0, 0.0, 0.0, 0.0
0.0001, -0.0012, -1.4851693045719494, 0.002338567937862828
0.0004, -0.0031, -1.379611867197882, 0.0015787653403846946
0.0008, -0.0043, -1.033885584054851, 0.000977547952787995
0.0015, -0.0056, -1.0613292811188, 0.0020503902067655314
0.0028, -0.0075, -0.910111966683745, 0.0024443608571567328
0.0042, -0.0092, -0.7887204103107015, 0.002128403157298918
0.0058, -0.0106, -0.694738276196703, 0.0019525624189766627
0.0072, -0.0117, -0.6196185712400354, 0.0018425254408012935
0.009, -0.0129, -0.5513759646786447, 0.0023479565583715556
0.0112, -0.0142, -0.48579588544031393, 0.002827083302628347
0.0142, -0.0156, -0.40970936773406536, 0.0038158092195496357
0.018, -0.0171, -0.34334064666506325, 0.004247928907126389
0.0225, -0.0185, -0.28225742198149106, 0.005206006146750118
0.03, -0.0203, -0.21177616002000318, 0.010228514066080177
0.0425, -0.0225, -0.1508453616209398, 0.015172290532414676
0.0575, -0.0246, -0.12205690272892315, 0.015112431968415937
0.0725, -0.0263, -0.10692398326527477, 0.015086155905332544
0.09, -0.0281, -0.09570670808680377, 0.020091948636207495
0.1125, -0.03, -0.08062484755679274, 0.025081475235719283
0.1375, -0.0319, -0.06908985832187464, 0.02505978651146094
0.175, -0.0341, -0.05474524309782433, 0.0500750197204155
0.225, -0.0364, -0.03518547272906015, 0.050030966410814
0.275, -0.0378, -0.0201972532031172, 0.050010199959608224
0.325, -0.0385, -0.007599853679737477, 0.05000144397914923
0.375, -0.0386, 0.0035999844481209202, 0.05000032399895029
0.425, -0.0382, 0.01319923342413933, 0.05000435581026916
0.475, -0.0372, 0.023395730434618133, 0.050013687126625635
0.525, -0.0358, 0.03278824506958885, 0.050026888769940554
0.575, -0.034, 0.040777383480723864, 0.05004159869548527
0.625, -0.0318, 0.04816272522250628, 0.05005804730510374
0.675, -0.0292, 0.05414701998775124, 0.05007338714327196
0.725, -0.0264, 0.05972887015830236, 0.05008932121720162
0.775, -0.0232, 0.06650179180082397, 0.050110766308249614
0.825, -0.0197, 0.07326860883122104, 0.05013450807577544
0.875, -0.0158, 0.08221426400192354, 0.050169456843781005
0.9125, -0.0126, 0.09174174757924414, 0.025105577069647316
0.9375, -0.0102, 0.10204432112926533, 0.025130730192336144
0.9625, -0.0075, 0.11350996743999509, 0.025161925601988436
0.9825, -0.0051, 0.12074312386343979, 0.015110009927197281
0.995, -0.0036, 0.12041461351206942, 0.01007293899514934
1.0, -0.0, 1.5707963267948966, 0.0059900000000000005
0.995, 0.0031, 3.1185967079696777, 0.010002644650291251
0.9825, 0.0036, 3.0949598192697274, 0.015016324450410639
0.9625, 0.0049, 3.0593783895878697, 0.025084728421890502
0.9375, 0.0075, 3.0217694244832036, 0.02518055003370648
0.9125, 0.0108, 2.9981839266585695, 0.02525929729822271
0.875, 0.0166, 2.9821574576999272, 0.050642290627498324
0.825, 0.0246, 2.983717519810317, 0.05062965139125484
0.775, 0.0323, 2.9946592677567687, 0.050544633740882965
0.725, 0.0392, 3.0131044345358133, 0.05041558885900277
0.675, 0.0452, 3.032823631111609, 0.05029723252824149
0.625, 0.0502, 3.0504459027313193, 0.05020841463340587
0.575, 0.0544, 3.0669316901357093, 0.050139680892482684
0.525, 0.0577, 3.0814652182713056, 0.050090519062992396
0.475, 0.0604, 3.095625057792689, 0.050052872045468065
0.425, 0.0624, 3.109203983862209, 0.05002623711613735
0.375, 0.0636, 3.122994798096663, 0.0500086482520774
0.325, 0.0643, 3.134192788660022, 0.05000136898125889
0.275, 0.0644, -3.138592662589745, 0.05000022499949374
0.225, 0.0639, -3.1241944092788727, 0.050007568427189085
0.175, 0.0622, -3.092432294527837, 0.05006047942239469
0.1375, 0.0596, -3.0344050482529092, 0.02514430551834748
0.1125, 0.0562, -2.9798188335595794, 0.0253307402181618
0.09, 0.0519, -2.9155242655959093, 0.02052218311973656
0.0725, 0.0474, -2.85749137191378, 0.015626400737213927
0.0575, 0.0426, -2.8007665118281957, 0.015915476744351707
0.0425, 0.0366, -2.729322111264017, 0.0163717317349143
0.03, 0.0307, -2.6511164398774456, 0.011336472114374913
0.0225, 0.0265, -2.5851535509076022, 0.005888301962365723
0.018, 0.0235, -2.5376096753367956, 0.00485979423432721
0.0142, 0.0208, -2.4863113919654256, 0.004414306287515628
0.0112, 0.0184, -2.4359386316263145, 0.003284341638745885
0.009, 0.0164, -2.3844645916033125, 0.002751744900967384
0.0072, 0.0147, -2.33980251588434, 0.002156965461012299
0.0058, 0.013, -2.2822554525344043, 0.0022973027662891977
0.0042, 0.0111, -2.2119050956546027, 0.002508007177023224
0.0028, 0.0089, -2.1165570225638364, 0.002889792380085462
0.0015, 0.0065, -1.9890206563741257, 0.0024622144504490265
0.0008, 0.0046, -1.866722365259105, 0.0017145261736118233
0.0004, 0.0031, -1.7833631363579512, 0.0014220056258679144
0.0001, 0.0012, -1.654632968863311, 0.002388388578100306
