Circumference: 2.0245303774296945 
X_i, Y_i, theta_i, l_i
0.0, 0.0, 0.0, 0.0
0.0062, -0.0041, -0.5760939741141803, 0.014905851200116015
0.0188, -0.0081, -0.0007999998293333662, 0.012500003999999362
0.0375, -0.008, 0.008799772853220708, 0.02500096798126025
0.0625, -0.0062, 0.13988047656243516, 0.025246591849198172
0.0875, -0.0033, 0.08658298948677666, 0.025094001275205204
0.125, -0.0002, 0.08261155338664751, 0.05017110323682347
0.175, 0.0035, 0.06271763709068079, 0.050098498979510374
0.25, 0.0066, 0.02979118349983301, 0.10004439214668653
0.35, 0.0079, -0.0031999890774004405, 0.10000051199868933
0.45, 0.0066, -0.022196354062057735, 0.10002463896460709
0.55, 0.0039, -0.03218887816878293, 0.10005182856899715
0.65, 0.0008, -0.029191705213733286, 0.10004262291643495
0.75, -0.0014, -0.01619858304711236, 0.10001312113917862
0.85, -0.0023, -0.00019999999733333397, 0.10000000199999995
0.925, -0.0019, 0.016798419723601715, 0.05000705550219882
0.975, -0.0007, 0.028792041336365065, 0.05002073170196538
1.0, 0.0022, 1.5707963267948966, 0.0044
0.975, 0.0075, 3.0190103575997815, 0.05037802695620387
0.925, 0.0135, 3.0249248875024444, 0.050342224821713966
0.85, 0.0228, 3.0140881406559554, 0.10081841300080058
0.75, 0.0356, 3.0160562956094448, 0.1007931763563388
0.65, 0.0478, 3.0229524455831287, 0.10070792620245933
0.55, 0.0587, 3.043706495101155, 0.10048100517013152
0.45, 0.0665, 3.083458232817748, 0.1001692188249464
0.35, 0.0698, 3.1343927780019234, 0.10000259196640858
0.25, 0.0664, -3.067926199873591, 0.10027195220997742
0.175, 0.0591, -2.9958337499353993, 0.05053588428038043
0.125, 0.05, -2.9300076648932913, 0.05114046929780757
0.0875, 0.0413, -2.877135326700057, 0.025900442081169203
0.0625, 0.0338, -2.8221238293512876, 0.026332354623162732
0.0375, 0.0245, -2.751810742027894, 0.027027262162490674
0.0188, 0.0161, -2.656422569093098, 0.014130750157015728
0.0062, 0.0064, -2.345118993712059, 0.017876755857817155
