Circumference: 2.031659006438253 
X_i, Y_i, theta_i, l_i
0.0, 0.0, 0.0, 0.0
0.0001, -0.0014, -1.4987192367126139, 0.0027772108310317382
0.0003, -0.0033, -1.3771743339389513, 0.0010394229168149028
0.0005, -0.0041, -1.2539718409266776, 0.0006419501538281617
0.0007, -0.0046, -1.1832725210146176, 0.0005292447448959697
0.0009, -0.0051, -1.126377116893797, 0.0004651881339845197
0.0015, -0.0061, -0.9978301839061905, 0.0018445866745696717
0.0025, -0.0074, -0.8329812666744318, 0.0014866068747318509
0.0035, -0.0084, -0.7272626879966904, 0.0013386933928274988
0.0045, -0.0092, -0.6370703292756832, 0.0012440257232067184
0.0075, -0.0109, -0.49358350182284594, 0.00567768438714235
0.015, -0.014, -0.32863461206608313, 0.01056542001058169
0.025, -0.0169, -0.2345992293193999, 0.010281638974404808
0.035, -0.019, -0.18583092508492197, 0.010175185501994548
0.045, -0.0207, -0.15475269067802383, 0.01012094857214481
0.055, -0.0222, -0.13320649683492844, 0.010089380555812131
0.065, -0.0234, -0.11647047147261874, 0.010068212353739872
0.075, -0.0245, -0.10263805878891623, 0.010052905052769567
0.085, -0.0255, -0.09174174757924433, 0.010042230827858913
0.095, -0.0264, -0.08181694860365463, 0.010033563673989426
0.1125, -0.0277, -0.06869175370317175, 0.025059098148177632
0.1375, -0.0292, -0.05474524309782436, 0.025037509860207738
0.1625, -0.0304, -0.04317315619578392, 0.02502331712623248
0.1875, -0.0314, -0.03438644043154246, 0.02501478762652206
0.225, -0.0324, -0.022796050447808008, 0.05001299431147868
0.275, -0.0332, -0.010599603021429087, 0.05000280892109961
0.325, -0.0334, 0.001999997333339791, 0.05000009999989999
0.375, -0.033, 0.01419904568612075, 0.05000504074590885
0.425, -0.032, 0.025794277781188837, 0.05001663823169245
0.475, -0.0305, 0.03658367049060663, 0.050033477792374166
0.525, -0.0284, 0.04576801627389941, 0.05005241352822064
0.575, -0.0259, 0.05374818300165861, 0.05007230871449801
0.625, -0.0231, 0.060326710734485804, 0.050091120969688874
0.675, -0.0199, 0.06530699647017249, 0.05010681490575901
0.7125, -0.0175, 0.06749730949055018, 0.02505705689022558
0.7375, -0.0158, 0.06749730949055018, 0.02505705689022558
0.7625, -0.0141, 0.06590441768983735, 0.025054390832746284
0.7875, -0.0125, 0.063912832788734, 0.025051147678300113
0.8125, -0.0109, 0.05952958044543025, 0.02504436263912491
0.8375, -0.0095, 0.05753642551502497, 0.025041437658409334
0.8625, -0.008, 0.05793509362341693, 0.025042014695307587
0.8875, -0.0066, 0.05793509362341693, 0.025042014695307587
0.9125, -0.0051, 0.05833374329605621, 0.025042595712106226
0.9375, -0.0036, 0.058333743296056506, 0.025042595712106114
0.955, -0.0026, 0.057935093623416915, 0.010016805878123035
0.965, -0.002, 0.057935093623416936, 0.010016805878123035
0.975, -0.0015, 0.058931682963631264, 0.010017389879604377
0.985, -0.0009, 0.057935093623416936, 0.010016805878123035
0.9925, -0.0004, 0.05992815512120784, 0.005008991914547282
0.9975, -0.0001, 0.057935093623416936, 0.005008402939061517
1.0, 0.0035, 1.5707963267948966, 0.007
0.9975, 0.007, 3.141592653589793, 0.0050000000000000044
0.9925, 0.007, 3.1215953196166426, 0.005000999900019999
0.985, 0.0072, 3.1215953196166426, 0.010001999800039999
0.975, 0.0074, 3.1116016487329152, 0.010004498987955378
0.965, 0.0078, 3.1016139664665032, 0.010007996802557453
0.955, 0.0083, 3.0816644984685855, 0.010017983829094563
