Circumference: 2.067385740900844 
X_i, Y_i, theta_i, l_i
0.0, 0.0, 0.0, 0.0
0.0004, -0.0026, -1.4113097467830715, 0.005226327582538239
0.0012, -0.006, -1.1279309447220873, 0.001936853117817663
0.0022, -0.0077, -0.9786096472452542, 0.0019886176103011857
0.0033, -0.0092, -0.8862692201187601, 0.0017554771431152274
0.0046, -0.0106, -0.8030641699093475, 0.0020014244927051335
0.0058, -0.0118, -0.6947382761967031, 0.0014839474384222636
0.01, -0.0145, -0.5592311868631585, 0.008387764898946562
0.0247, -0.0212, -0.3815083807850397, 0.024092125269473425
0.0435, -0.0281, -0.29716209561492574, 0.015949025048572717
0.0638, -0.0335, -0.23696467012512032, 0.026027333709006766
0.0891, -0.0389, -0.18778487177722986, 0.025712012756686324
0.1262, -0.0448, -0.1423543542178794, 0.04948050929406446
0.1756, -0.0508, -0.09752443722583047, 0.050118148409533256
0.2254, -0.0547, -0.059403605441203156, 0.04985794319865189
0.276, -0.057, -0.031543877203204125, 0.05136555265934554
0.3261, -0.0578, -0.0006146280725737649, 0.0488100092194214
0.3756, -0.0569, 0.03682126332939732, 0.0502540635172918
0.4254, -0.0542, 0.06955146451753152, 0.04949967676662145
0.475, -0.0501, 0.09607675668445402, 0.050141242505546225
0.5253, -0.0445, 0.12547416103000977, 0.05098078853842893
0.5751, -0.0377, 0.14906906277863696, 0.049691085719674066
0.6246, -0.0301, 0.1525588279279265, 0.050405436214757605
0.6748, -0.0226, 0.14482862428007526, 0.05113535371932023
0.725, -0.0156, 0.13128938810945917, 0.050262563603541
0.774, -0.0098, 0.10392508344015414, 0.04839108698923802
0.8235, -0.0055, 0.07217304786056584, 0.051032856083115655
0.874, -0.0025, 0.04608433756179722, 0.050143236832099376
0.9233, -0.0011, 0.010925147662374445, 0.04851289519292777
0.9589, -0.0009, -0.006613660183799424, 0.022680496026321856
0.9743, -0.001, -0.01116578904758818, 0.008060502465727511
0.9892, -0.0008, 0.020753477496338133, 0.021684669700043884
0.9998, -0.0002, 1.9936502529278652, 0.0008772684879784635
0.995, 0.0015, 2.8652802169510507, 0.009677070837810307
0.9832, 0.0046, 2.9039179774411115, 0.014610735778871635
0.963, 0.0094, 2.9062498593687818, 0.026932406130904873
0.925, 0.0184, 2.909920649608218, 0.051218357060725854
0.875, 0.0301, 2.9156682879107922, 0.051426887908952786
0.825, 0.0416, 2.914486162821363, 0.051163785043720086
0.7723, 0.0538, 2.9141776303579143, 0.05717203949484406
0.7229, 0.0653, 2.912911526637636, 0.044200711532734326
0.676, 0.0761, 2.915455105036978, 0.05213743568684599
0.6258, 0.0876, 2.9174453033141443, 0.05088288710362261
0.5764, 0.0988, 2.921696608807532, 0.05038322141348242
0.5261, 0.1097, 2.934479226676533, 0.0524713883940572
0.4764, 0.1192, 2.9705364730781127, 0.04870076180102323
0.4271, 0.1262, 3.0299809444416264, 0.050906748079208544
0.3773, 0.1298, 3.108149395037591, 0.0490474260282841
0.328, 0.1294, -3.091955262601676, 0.04978131476769169
0.2782, 0.1249, -3.011299135388384, 0.050336663576363516
0.2268, 0.116, -2.9322185756438444, 0.05402994910232655
0.1757, 0.103, -2.847290519769777, 0.05150444349762455
0.1265, 0.0858, -2.765098220463455, 0.05276575499317716
0.0889, 0.0697, -2.6878987740412597, 0.029204494517111566
0.0683, 0.0592, -2.637818681257408, 0.01694514679782975
0.0555, 0.0519, -2.5992637175601274, 0.012574299185242893
0.0424, 0.0435, -2.5583818672145577, 0.018521652194121344
0.0297, 0.0347, -2.503923327055194, 0.012346209944756324
0.0213, 0.0281, -2.44121189248728, 0.009076678908058829
0.0157, 0.0232, -2.388752342064827, 0.005865023444113415
0.0097, 0.0169, -2.2991661544215805, 0.011537525731282248
0.0054, 0.012, -2.1734231162297903, 0.0015172672803431845
0.0044, 0.0105, -2.1546667224570117, 0.0020135789033459794
0.0033, 0.0088, -2.1233806770856107, 0.002114734025829253
0.0022, 0.0067, -2.032648605588169, 0.002490983741416231
0.0012, 0.0046, -1.937659890688229, 0.0023139792566053826
0.0004, 0.0017, -1.8055781985392836, 0.0035678845272794353
