Circumference: 2.040733353543895 
X_i, Y_i, theta_i, l_i
1.0, 0.0, -1.5707963267948966, 0.0013398
0.995, -0.001, -3.0810346462659983, 0.010009748628212382
0.985, -0.0016, -3.075906769055037, 0.010012392145736168
0.9775, -0.0021, -3.071120371582257, 0.005007529407801845
0.9625, -0.0033, -3.0601799840451673, 0.025054484997700546
0.9376, -0.0055, -3.045658712466829, 0.02508172911124744
0.9226, -0.007, -3.0388848523004506, 0.005019149972854041
0.9101, -0.0083, -3.035087898173057, 0.020084001420035736
0.8876, -0.0108, -3.030145782101487, 0.025116819156891672
0.8627, -0.0137, -3.023052840949201, 0.025134786388787998
0.8377, -0.0168, -3.0113787717342757, 0.025167464110831598
0.8228, -0.0188, -3.003428810183398, 0.00503831234641125
0.8103, -0.0206, -2.9967144385425617, 0.020170819682402617
0.7903, -0.0236, -2.9856050627116977, 0.02020137326445906
0.7778, -0.0256, -2.9772079924772448, 0.005056667726873056
0.7629, -0.0283, -2.956939487973181, 0.02536632781405301
0.738, -0.0335, -2.919271589834179, 0.025550337335150823
0.713, -0.0387, -2.9464998502041504, 0.025413502189190737
0.6906, -0.0425, -3.007261106468616, 0.02014367279519793
0.6781, -0.0442, -3.029429677609458, 0.005023767722536545
0.6631, -0.0457, -3.0440334666200073, 0.025085082682741986
0.6382, -0.0478, -3.06602457265292, 0.02504497608084302
0.6132, -0.0495, -3.084464901080148, 0.025020717455141107
0.5882, -0.0508, -3.0973900413578255, 0.025008928130969513
0.5632, -0.0517, -3.108529227739782, 0.025001964705598602
0.5382, -0.0524, -3.118921282600631, 0.024998424208137613
0.5132, -0.0529, -3.12934301228121, 0.024997275443535843
0.4882, -0.0531, -3.1347680497744195, 0.0249979821409649
0.4632, -0.0532, -3.141100645757368, 0.02499960302584824
0.4382, -0.0531, 3.1334976399335237, 0.025003319219855574
0.4132, -0.0528, 3.1255414995496005, 0.025008621535782424
0.3882, -0.0523, 3.117904666765097, 0.025015017894257016
0.3632, -0.0516, 3.1103720432400013, 0.02502279419988908
0.3382, -0.0507, 3.1024696072212277, 0.025032555130669307
0.3132, -0.0497, 3.0952353936963686, 0.025042803618205406
0.2882, -0.0484, 3.0881308175806486, 0.025054095879316812
0.2632, -0.047, 3.080838609212457, 0.025067248053984664
0.2381, -0.0454, 3.0726714306793, 0.025083250834969546
0.2131, -0.0435, 3.0644366897702677, 0.025101377729718356
0.1881, -0.0415, 3.054867072601866, 0.025124425295715718
0.163, -0.0391, 3.0414403394495877, 0.025160781994604215
