Circumference: 2.034128529895081 
X_i, Y_i, theta_i, l_i
0.0, 0.0, 0.0, 0.0
0.0005, -0.0021, -1.3183892288802235, 0.004244490546579177
0.0027, -0.0057, -0.7714455805002208, 0.004561282714324995
0.007, -0.0086, -0.4673512957695614, 0.006037424947773678
0.0135, -0.0113, -0.34082614176159765, 0.007957738372175853
0.022, -0.014, -0.26359483662725974, 0.009902019995940224
0.0326, -0.0165, -0.20957001591028843, 0.01192082211930033
0.0452, -0.0189, -0.17228376860335548, 0.013824662744530153
0.0599, -0.0212, -0.1450346507625963, 0.01577562993987878
0.076, -0.0234, -0.12339160370800802, 0.016737254852573644
0.0918, -0.0252, -0.10692398326527477, 0.015086155905332544
0.1144, -0.0274, -0.09131797864029179, 0.030266106455902133
0.1446, -0.0299, -0.07444960142189637, 0.030384166929504578
0.175, -0.032, -0.06066087554223762, 0.030516128522471507
0.2055, -0.0337, -0.04997470015837858, 0.030628238604268453
0.2361, -0.0351, -0.040355805143358216, 0.030735023995435554
0.2669, -0.0362, -0.031776520500274755, 0.030845571805366186
0.3012, -0.0371, -0.02281376476613049, 0.03769981034435054
0.335, -0.0378, -0.014665615148058224, 0.030003226493162335
0.3625, -0.0381, -0.007999829339886856, 0.02500079998720043
0.3875, -0.0382, -0.0023999953920158254, 0.02500007199989634
0.4125, -0.0382, 0.003999978666871584, 0.025000199999199973
0.4375, -0.038, 0.008799772853220632, 0.025000967981260266
0.4625, -0.0377, 0.015198829559580138, 0.025002887833208354
0.4875, -0.0373, 0.01999733397315053, 0.025004999500099996
0.5125, -0.0367, 0.025994143708461624, 0.0250084485724325
0.5375, -0.036, 0.03079026616907375, 0.025011855189089854
0.5625, -0.0352, 0.036383936586762464, 0.025016556517634386
0.5875, -0.0342, 0.041576027787625786, 0.025021622649220834
0.6125, -0.0331, 0.046366743834291374, 0.02502689753045713
0.6375, -0.0319, 0.05115533099458308, 0.02503274655326501
0.6625, -0.0305, 0.056340311830061766, 0.025039730429858888
0.6875, -0.029, 0.0611237642726116, 0.025046774243402993
0.7125, -0.0275, 0.06550614208504565, 0.025053734252601968
0.7375, -0.0258, 0.0698860016346425, 0.02506117515201554
0.7625, -0.024, 0.0746609634540838, 0.025069840446241397
0.7875, -0.022, 0.07903502276598894, 0.025078285427835793
0.8125, -0.02, 0.08340605362411575, 0.02508720988870615
0.8375, -0.0179, 0.0873769522796671, 0.025095738682095036
0.8625, -0.0156, 0.09174174757924414, 0.025105577069647316
0.8875, -0.0133, 0.09570670808680368, 0.025114935795259384
0.9125, -0.0108, 0.0992725972225519, 0.025123695986060672
0.9375, -0.0083, 0.10362745999687205, 0.02513483638299632
0.9625, -0.0056, 0.10718760533688401, 0.025144305518347513
0.9875, -0.0029, 0.11074502519509409, 0.025154093106291887
1.0, 0.0, 1.5707963267948966, 0.003
0.9875, 0.0034, 2.9942678642506797, 0.02527378285892322
0.9625, 0.007, 2.997400355857261, 0.025262163406961035
0.9375, 0.0106, 3.0017121770273576, 0.025246591849198093
0.9125, 0.0141, 3.0052439363798085, 0.025234200997852122
0.8875, 0.0174, 3.0095651753275265, 0.025219484530814684
0.8625, 0.0207, 3.0131044345358133, 0.025207794429501384
0.8375, 0.0239, 3.0178284718343154, 0.025192699339292746
0.8125, 0.027, 3.0217694244832036, 0.02518055003370648
0.7875, 0.0299, 3.026108791529761, 0.025167637950352057
0.7625, 0.0328, 3.0304525315359223, 0.025155200257600836
0.7375, 0.0355, 3.035195959190693, 0.02514217373259522
0.7125, 0.0381, 3.0395483324605284, 0.025130730192336255
0.6875, 0.0406, 3.0439045887247427, 0.025119763135825854
0.6625, 0.043, 3.049057678438061, 0.025107417230770694
0.6375, 0.0452, 3.054215701310126, 0.025095738682095036
0.6125, 0.0474, 3.0585838369548157, 0.025086378774147555
0.5875, 0.0494, 3.063750262652471, 0.025075934678492066
0.5625, 0.0513, 3.0689208556165792, 0.02506616045588146
0.5375, 0.053, 3.074095344099243, 0.02505705689022558
0.5125, 0.0547, 3.079671913531482, 0.02504800391248774
0.4875, 0.0561, 3.0852523417597313, 0.025039730429858888
0.4625, 0.0575, 3.090038376599835, 0.025033259875613452
0.4375, 0.0587, 3.0964233977143647, 0.025025524969518643
0.4125, 0.0598, 3.1016139664665032, 0.025019992006393574
0.3875, 0.0607, 3.1076057458435384, 0.025014445826362038
0.3625, 0.0615, 3.1135999674829793, 0.025009798079952607
0.335, 0.0621, 3.1199293764005738, 0.030007040840442735
0.3012, 0.0627, 3.1288578684542383, 0.03769305638973842
0.2669, 0.063, 3.1402952167569866, 0.03083002594874032
0.2361, 0.0628, -3.13117297208079, 0.03071166716412509
0.2055, 0.0623, -3.1157729595952484, 0.030600199345755908
0.175, 0.0611, -3.092387491719176, 0.030496911319017196
0.1446, 0.0591, -3.057632085547129, 0.030407112654772066
0.1144, 0.0558, -3.005413541410788, 0.030421645254653813
0.0918, 0.0522, -2.9506154908388975, 0.015277761616153069
0.076, 0.0487, -2.8990236243534206, 0.017110938022212575
0.0599, 0.0442, -2.829288511857703, 0.01640346609713934
0.0452, 0.0388, -2.7452385467289027, 0.014764633419086301
0.0326, 0.0328, -2.652214185584707, 0.01321059044857572
0.022, 0.0266, -2.5633079171056052, 0.01141626909283414
0.0135, 0.0204, -2.4468543773930898, 0.00976281209488332
0.007, 0.0142, -2.295294281914357, 0.00813266254064436
0.0027, 0.0082, -2.0797764326719865, 0.006710625902253828
0.0005, 0.0026, -1.7685553908090648, 0.005395155234096606
